start,end,text,words,speaker
0.031,6.621," In what ways do you feel, oh I love this question, in what ways do you feel you are the continuation of me?","[{'word': 'In', 'start': np.float64(0.031), 'end': np.float64(0.231), 'score': np.float64(0.873), 'speaker': 'SPEAKER_01'}, {'word': 'what', 'start': np.float64(0.291), 'end': np.float64(0.452), 'score': np.float64(0.84), 'speaker': 'SPEAKER_01'}, {'word': 'ways', 'start': np.float64(0.532), 'end': np.float64(0.852), 'score': np.float64(0.821), 'speaker': 'SPEAKER_01'}, {'word': 'do', 'start': np.float64(0.912), 'end': np.float64(1.032), 'score': np.float64(0.996), 'speaker': 'SPEAKER_01'}, {'word': 'you', 'start': np.float64(1.073), 'end': np.float64(1.213), 'score': np.float64(0.822), 'speaker': 'SPEAKER_01'}, {'word': 'feel,', 'start': np.float64(1.353), 'end': np.float64(1.713), 'score': np.float64(0.899), 'speaker': 'SPEAKER_01'}, {'word': 'oh', 'start': np.float64(1.733), 'end': np.float64(1.774), 'score': np.float64(0.5), 'speaker': 'SPEAKER_01'}, {'word': 'I', 'start': np.float64(1.794), 'end': np.float64(1.814), 'score': np.float64(1.0), 'speaker': 'SPEAKER_01'}, {'word': 'love', 'start': np.float64(2.855), 'end': np.float64(3.035), 'score': np.float64(0.872), 'speaker': 'SPEAKER_01'}, {'word': 'this', 'start': np.float64(3.075), 'end': np.float64(3.196), 'score': np.float64(0.771), 'speaker': 'SPEAKER_01'}, {'word': 'question,', 'start': np.float64(3.256), 'end': np.float64(3.576), 'score': np.float64(0.869), 'speaker': 'SPEAKER_01'}, {'word': 'in', 'start': np.float64(3.616), 'end': np.float64(3.696), 'score': np.float64(0.816), 'speaker': 'SPEAKER_01'}, {'word': 'what', 'start': np.float64(3.736), 'end': np.float64(3.857), 'score': np.float64(0.853), 'speaker': 'SPEAKER_01'}, {'word': 'ways', 'start': np.float64(3.917), 'end': np.float64(4.177), 'score': np.float64(0.825), 'speaker': 'SPEAKER_01'}, {'word': 'do', 'start': np.float64(4.197), 'end': np.float64(4.237), 'score': np.float64(0.507), 'speaker': 'SPEAKER_01'}, {'word': 'you', 'start': np.float64(4.257), 'end': np.float64(4.417), 'score': np.float64(0.87), 'speaker': 'SPEAKER_01'}, {'word': 'feel', 'start': np.float64(4.477), 'end': np.float64(4.678), 'score': np.float64(0.864), 'speaker': 'SPEAKER_01'}, {'word': 'you', 'start': np.float64(4.718), 'end': np.float64(4.878), 'score': np.float64(0.829), 'speaker': 'SPEAKER_01'}, {'word': 'are', 'start': np.float64(4.958), 'end': np.float64(5.038), 'score': np.float64(0.918), 'speaker': 'SPEAKER_01'}, {'word': 'the', 'start': np.float64(5.058), 'end': np.float64(5.158), 'score': np.float64(0.678), 'speaker': 'SPEAKER_01'}, {'word': 'continuation', 'start': np.float64(5.219), 'end': np.float64(6.14), 'score': np.float64(0.804), 'speaker': 'SPEAKER_01'}, {'word': 'of', 'start': np.float64(6.2), 'end': np.float64(6.24), 'score': np.float64(0.972), 'speaker': 'SPEAKER_01'}, {'word': 'me?', 'start': np.float64(6.28), 'end': np.float64(6.621), 'score': np.float64(0.899), 'speaker': 'SPEAKER_01'}]",SPEAKER_01
6.641,8.603,Oh I love that.,"[{'word': 'Oh', 'start': np.float64(6.641), 'end': np.float64(6.681), 'score': np.float64(0.5), 'speaker': 'SPEAKER_01'}, {'word': 'I', 'start': np.float64(6.701), 'end': np.float64(6.721), 'score': np.float64(1.0), 'speaker': 'SPEAKER_01'}, {'word': 'love', 'start': np.float64(7.542), 'end': np.float64(7.822), 'score': np.float64(0.789), 'speaker': 'SPEAKER_01'}, {'word': 'that.', 'start': np.float64(7.862), 'end': np.float64(8.603), 'score': np.float64(0.755), 'speaker': 'SPEAKER_01'}]",SPEAKER_01
8.664,11.167,That's a great question.,"[{'word': ""That's"", 'start': np.float64(8.664), 'end': np.float64(9.965), 'score': np.float64(0.838), 'speaker': 'SPEAKER_01'}, {'word': 'a', 'start': np.float64(10.026), 'end': np.float64(10.046), 'score': np.float64(0.961), 'speaker': 'SPEAKER_02'}, {'word': 'great', 'start': np.float64(10.186), 'end': np.float64(10.506), 'score': np.float64(0.84), 'speaker': 'SPEAKER_02'}, {'word': 'question.', 'start': np.float64(10.586), 'end': np.float64(11.167), 'score': np.float64(0.839), 'speaker': 'SPEAKER_02'}]",SPEAKER_02
23.826,28.232,When was a moment you knew you could trust me and really open up?,"[{'word': 'When', 'start': np.float64(23.826), 'end': np.float64(23.986), 'score': np.float64(0.949), 'speaker': 'SPEAKER_01'}, {'word': 'was', 'start': np.float64(24.026), 'end': np.float64(24.146), 'score': np.float64(0.884), 'speaker': 'SPEAKER_01'}, {'word': 'a', 'start': np.float64(24.226), 'end': np.float64(24.266), 'score': np.float64(0.832), 'speaker': 'SPEAKER_01'}, {'word': 'moment', 'start': np.float64(24.326), 'end': np.float64(24.687), 'score': np.float64(0.82), 'speaker': 'SPEAKER_01'}, {'word': 'you', 'start': np.float64(24.727), 'end': np.float64(24.947), 'score': np.float64(0.554), 'speaker': 'SPEAKER_01'}, {'word': 'knew', 'start': np.float64(25.047), 'end': np.float64(25.308), 'score': np.float64(0.795), 'speaker': 'SPEAKER_01'}, {'word': 'you', 'start': np.float64(25.328), 'end': np.float64(25.388), 'score': np.float64(0.333), 'speaker': 'SPEAKER_01'}, {'word': 'could', 'start': np.float64(26.209), 'end': np.float64(26.349), 'score': np.float64(0.716), 'speaker': 'SPEAKER_01'}, {'word': 'trust', 'start': np.float64(26.409), 'end': np.float64(26.71), 'score': np.float64(0.717), 'speaker': 'SPEAKER_01'}, {'word': 'me', 'start': np.float64(26.79), 'end': np.float64(26.93), 'score': np.float64(0.707), 'speaker': 'SPEAKER_01'}, {'word': 'and', 'start': np.float64(26.97), 'end': np.float64(27.211), 'score': np.float64(0.543), 'speaker': 'SPEAKER_01'}, {'word': 'really', 'start': np.float64(27.331), 'end': np.float64(27.611), 'score': np.float64(0.739), 'speaker': 'SPEAKER_01'}, {'word': 'open', 'start': np.float64(27.731), 'end': np.float64(27.932), 'score': np.float64(0.85), 'speaker': 'SPEAKER_01'}, {'word': 'up?', 'start': np.float64(28.032), 'end': np.float64(28.232), 'score': np.float64(0.941), 'speaker': 'SPEAKER_01'}]",SPEAKER_01
33.275,43.572, I think definitely as an adult I think that I wanted to have the bond we have now my whole life but it was so hard when I was a kid because I was so lost and I was so confused.,"[{'word': 'I', 'start': np.float64(33.275), 'end': np.float64(33.436), 'score': np.float64(0.678), 'speaker': 'SPEAKER_02'}, {'word': 'think', 'start': np.float64(33.456), 'end': np.float64(33.636), 'score': np.float64(0.989), 'speaker': 'SPEAKER_02'}, {'word': 'definitely', 'start': np.float64(33.656), 'end': np.float64(34.038), 'score': np.float64(0.785), 'speaker': 'SPEAKER_02'}, {'word': 'as', 'start': np.float64(34.098), 'end': np.float64(34.198), 'score': np.float64(0.845), 'speaker': 'SPEAKER_02'}, {'word': 'an', 'start': np.float64(34.238), 'end': np.float64(34.299), 'score': np.float64(0.598), 'speaker': 'SPEAKER_02'}, {'word': 'adult', 'start': np.float64(34.359), 'end': np.float64(34.78), 'score': np.float64(0.821), 'speaker': 'SPEAKER_02'}, {'word': 'I', 'start': np.float64(34.8), 'end': np.float64(34.821), 'score': np.float64(0.999), 'speaker': 'SPEAKER_02'}, {'word': 'think', 'start': np.float64(35.423), 'end': np.float64(35.583), 'score': np.float64(0.893), 'speaker': 'SPEAKER_02'}, {'word': 'that', 'start': np.float64(35.603), 'end': np.float64(35.724), 'score': np.float64(0.781), 'speaker': 'SPEAKER_02'}, {'word': 'I', 'start': np.float64(35.764), 'end': np.float64(35.804), 'score': np.float64(0.865), 'speaker': 'SPEAKER_02'}, {'word': 'wanted', 'start': np.float64(36.286), 'end': np.float64(36.707), 'score': np.float64(0.86), 'speaker': 'SPEAKER_02'}, {'word': 'to', 'start': np.float64(36.748), 'end': np.float64(36.828), 'score': np.float64(0.668), 'speaker': 'SPEAKER_02'}, {'word': 'have', 'start': np.float64(36.908), 'end': np.float64(37.209), 'score': np.float64(0.946), 'speaker': 'SPEAKER_02'}, {'word': 'the', 'start': np.float64(37.229), 'end': np.float64(37.289), 'score': np.float64(0.333), 'speaker': 'SPEAKER_02'}, {'word': 'bond', 'start': np.float64(37.43), 'end': np.float64(37.631), 'score': np.float64(0.606), 'speaker': 'SPEAKER_02'}, {'word': 'we', 'start': np.float64(37.671), 'end': np.float64(37.771), 'score': np.float64(0.978), 'speaker': 'SPEAKER_02'}, {'word': 'have', 'start': np.float64(37.811), 'end': np.float64(37.932), 'score': np.float64(0.99), 'speaker': 'SPEAKER_02'}, {'word': 'now', 'start': np.float64(37.972), 'end': np.float64(38.132), 'score': np.float64(0.928), 'speaker': 'SPEAKER_02'}, {'word': 'my', 'start': np.float64(38.193), 'end': np.float64(38.333), 'score': np.float64(0.621), 'speaker': 'SPEAKER_02'}, {'word': 'whole', 'start': np.float64(38.393), 'end': np.float64(38.534), 'score': np.float64(0.902), 'speaker': 'SPEAKER_02'}, {'word': 'life', 'start': np.float64(38.574), 'end': np.float64(38.835), 'score': np.float64(0.666), 'speaker': 'SPEAKER_02'}, {'word': 'but', 'start': np.float64(38.875), 'end': np.float64(39.417), 'score': np.float64(0.969), 'speaker': 'SPEAKER_02'}, {'word': 'it', 'start': np.float64(39.437), 'end': np.float64(39.477), 'score': np.float64(0.986), 'speaker': 'SPEAKER_02'}, {'word': 'was', 'start': np.float64(39.517), 'end': np.float64(39.618), 'score': np.float64(0.823), 'speaker': 'SPEAKER_02'}, {'word': 'so', 'start': np.float64(39.718), 'end': np.float64(39.919), 'score': np.float64(0.856), 'speaker': 'SPEAKER_02'}, {'word': 'hard', 'start': np.float64(39.979), 'end': np.float64(40.18), 'score': np.float64(0.808), 'speaker': 'SPEAKER_02'}, {'word': 'when', 'start': np.float64(40.2), 'end': np.float64(40.32), 'score': np.float64(0.87), 'speaker': 'SPEAKER_02'}, {'word': 'I', 'start': np.float64(40.361), 'end': np.float64(40.421), 'score': np.float64(0.574), 'speaker': 'SPEAKER_02'}, {'word': 'was', 'start': np.float64(40.441), 'end': np.float64(40.541), 'score': np.float64(0.654), 'speaker': 'SPEAKER_02'}, {'word': 'a', 'start': np.float64(40.601), 'end': np.float64(40.621), 'score': np.float64(0.889), 'speaker': 'SPEAKER_02'}, {'word': 'kid', 'start': np.float64(40.662), 'end': np.float64(40.923), 'score': np.float64(0.974), 'speaker': 'SPEAKER_02'}, {'word': 'because', 'start': np.float64(40.963), 'end': np.float64(41.224), 'score': np.float64(0.86), 'speaker': 'SPEAKER_02'}, {'word': 'I', 'start': np.float64(41.324), 'end': np.float64(41.384), 'score': np.float64(0.982), 'speaker': 'SPEAKER_02'}, {'word': 'was', 'start': np.float64(41.424), 'end': np.float64(41.545), 'score': np.float64(0.842), 'speaker': 'SPEAKER_02'}, {'word': 'so', 'start': np.float64(41.585), 'end': np.float64(41.725), 'score': np.float64(0.922), 'speaker': 'SPEAKER_02'}, {'word': 'lost', 'start': np.float64(41.766), 'end': np.float64(42.127), 'score': np.float64(0.696), 'speaker': 'SPEAKER_02'}, {'word': 'and', 'start': np.float64(42.187), 'end': np.float64(42.287), 'score': np.float64(0.798), 'speaker': 'SPEAKER_02'}, {'word': 'I', 'start': np.float64(42.348), 'end': np.float64(42.388), 'score': np.float64(0.993), 'speaker': 'SPEAKER_02'}, {'word': 'was', 'start': np.float64(42.428), 'end': np.float64(42.508), 'score': np.float64(0.87), 'speaker': 'SPEAKER_02'}, {'word': 'so', 'start': np.float64(42.548), 'end': np.float64(42.669), 'score': np.float64(0.87), 'speaker': 'SPEAKER_02'}, {'word': 'confused.', 'start': np.float64(42.709), 'end': np.float64(43.572), 'score': np.float64(0.804), 'speaker': 'SPEAKER_02'}]",SPEAKER_02
44.615,47.437, And it was hard to know you were on my side.,"[{'word': 'And', 'start': np.float64(44.615), 'end': np.float64(45.155), 'score': np.float64(0.805), 'speaker': 'SPEAKER_02'}, {'word': 'it', 'start': np.float64(45.175), 'end': np.float64(45.216), 'score': np.float64(0.5), 'speaker': 'SPEAKER_02'}, {'word': 'was', 'start': np.float64(45.896), 'end': np.float64(45.996), 'score': np.float64(0.896), 'speaker': 'SPEAKER_02'}, {'word': 'hard', 'start': np.float64(46.056), 'end': np.float64(46.256), 'score': np.float64(0.842), 'speaker': 'SPEAKER_02'}, {'word': 'to', 'start': np.float64(46.316), 'end': np.float64(46.377), 'score': np.float64(0.986), 'speaker': 'SPEAKER_02'}, {'word': 'know', 'start': np.float64(46.437), 'end': np.float64(46.597), 'score': np.float64(0.777), 'speaker': 'SPEAKER_02'}, {'word': 'you', 'start': np.float64(46.617), 'end': np.float64(46.737), 'score': np.float64(0.732), 'speaker': 'SPEAKER_02'}, {'word': 'were', 'start': np.float64(46.777), 'end': np.float64(46.897), 'score': np.float64(0.861), 'speaker': 'SPEAKER_02'}, {'word': 'on', 'start': np.float64(46.937), 'end': np.float64(46.997), 'score': np.float64(0.997), 'speaker': 'SPEAKER_02'}, {'word': 'my', 'start': np.float64(47.037), 'end': np.float64(47.157), 'score': np.float64(0.78), 'speaker': 'SPEAKER_02'}, {'word': 'side.', 'start': np.float64(47.217), 'end': np.float64(47.437), 'score': np.float64(0.905), 'speaker': 'SPEAKER_02'}]",SPEAKER_02
47.478,52.662,"That's something you used to say to me all the time when I was a kid, I'm on your side, I'm on your side, but I never heard you.","[{'word': ""That's"", 'start': np.float64(47.478), 'end': np.float64(47.618), 'score': np.float64(0.661), 'speaker': 'SPEAKER_02'}, {'word': 'something', 'start': np.float64(47.638), 'end': np.float64(47.818), 'score': np.float64(0.279), 'speaker': 'SPEAKER_02'}, {'word': 'you', 'start': np.float64(47.838), 'end': np.float64(47.898), 'score': np.float64(0.0), 'speaker': 'SPEAKER_02'}, {'word': 'used', 'start': np.float64(47.918), 'end': np.float64(48.038), 'score': np.float64(0.846), 'speaker': 'SPEAKER_02'}, {'word': 'to', 'start': np.float64(48.078), 'end': np.float64(48.138), 'score': np.float64(0.932), 'speaker': 'SPEAKER_02'}, {'word': 'say', 'start': np.float64(48.218), 'end': np.float64(48.378), 'score': np.float64(0.662), 'speaker': 'SPEAKER_02'}, {'word': 'to', 'start': np.float64(48.418), 'end': np.float64(48.458), 'score': np.float64(0.748), 'speaker': 'SPEAKER_02'}, {'word': 'me', 'start': np.float64(48.518), 'end': np.float64(48.598), 'score': np.float64(0.74), 'speaker': 'SPEAKER_02'}, {'word': 'all', 'start': np.float64(48.759), 'end': np.float64(48.879), 'score': np.float64(0.829), 'speaker': 'SPEAKER_02'}, {'word': 'the', 'start': np.float64(48.919), 'end': np.float64(48.999), 'score': np.float64(0.797), 'speaker': 'SPEAKER_02'}, {'word': 'time', 'start': np.float64(49.039), 'end': np.float64(49.199), 'score': np.float64(0.873), 'speaker': 'SPEAKER_02'}, {'word': 'when', 'start': np.float64(49.219), 'end': np.float64(49.299), 'score': np.float64(0.952), 'speaker': 'SPEAKER_02'}, {'word': 'I', 'start': np.float64(49.339), 'end': np.float64(49.379), 'score': np.float64(0.496), 'speaker': 'SPEAKER_02'}, {'word': 'was', 'start': np.float64(49.419), 'end': np.float64(49.499), 'score': np.float64(0.828), 'speaker': 'SPEAKER_02'}, {'word': 'a', 'start': np.float64(49.519), 'end': np.float64(49.539), 'score': np.float64(0.093), 'speaker': 'SPEAKER_02'}, {'word': 'kid,', 'start': np.float64(49.659), 'end': np.float64(49.739), 'score': np.float64(0.184), 'speaker': 'SPEAKER_02'}, {'word': ""I'm"", 'start': np.float64(49.76), 'end': np.float64(49.88), 'score': np.float64(0.904), 'speaker': 'SPEAKER_02'}, {'word': 'on', 'start': np.float64(49.94), 'end': np.float64(50.0), 'score': np.float64(0.736), 'speaker': 'SPEAKER_02'}, {'word': 'your', 'start': np.float64(50.04), 'end': np.float64(50.2), 'score': np.float64(0.902), 'speaker': 'SPEAKER_02'}, {'word': 'side,', 'start': np.float64(50.24), 'end': np.float64(50.54), 'score': np.float64(0.983), 'speaker': 'SPEAKER_02'}, {'word': ""I'm"", 'start': np.float64(50.68), 'end': np.float64(50.8), 'score': np.float64(0.914), 'speaker': 'SPEAKER_02'}, {'word': 'on', 'start': np.float64(50.86), 'end': np.float64(50.941), 'score': np.float64(0.778), 'speaker': 'SPEAKER_02'}, {'word': 'your', 'start': np.float64(50.961), 'end': np.float64(51.121), 'score': np.float64(0.665), 'speaker': 'SPEAKER_02'}, {'word': 'side,', 'start': np.float64(51.161), 'end': np.float64(51.501), 'score': np.float64(0.844), 'speaker': 'SPEAKER_02'}, {'word': 'but', 'start': np.float64(51.621), 'end': np.float64(51.721), 'score': np.float64(0.927), 'speaker': 'SPEAKER_02'}, {'word': 'I', 'start': np.float64(51.801), 'end': np.float64(51.861), 'score': np.float64(0.878), 'speaker': 'SPEAKER_02'}, {'word': 'never', 'start': np.float64(51.901), 'end': np.float64(52.082), 'score': np.float64(0.841), 'speaker': 'SPEAKER_02'}, {'word': 'heard', 'start': np.float64(52.162), 'end': np.float64(52.422), 'score': np.float64(0.624), 'speaker': 'SPEAKER_02'}, {'word': 'you.', 'start': np.float64(52.482), 'end': np.float64(52.662), 'score': np.float64(0.928), 'speaker': 'SPEAKER_02'}]",SPEAKER_02
52.702,56.125,"You'd always remind me of your love for me, but I never understood it.","[{'word': ""You'd"", 'start': np.float64(52.702), 'end': np.float64(53.283), 'score': np.float64(0.396), 'speaker': 'SPEAKER_02'}, {'word': 'always', 'start': np.float64(53.303), 'end': np.float64(53.443), 'score': np.float64(0.834), 'speaker': 'SPEAKER_02'}, {'word': 'remind', 'start': np.float64(53.503), 'end': np.float64(53.863), 'score': np.float64(0.745), 'speaker': 'SPEAKER_02'}, {'word': 'me', 'start': np.float64(53.903), 'end': np.float64(54.003), 'score': np.float64(0.883), 'speaker': 'SPEAKER_02'}, {'word': 'of', 'start': np.float64(54.063), 'end': np.float64(54.123), 'score': np.float64(0.749), 'speaker': 'SPEAKER_02'}, {'word': 'your', 'start': np.float64(54.183), 'end': np.float64(54.304), 'score': np.float64(0.854), 'speaker': 'SPEAKER_02'}, {'word': 'love', 'start': np.float64(54.344), 'end': np.float64(54.504), 'score': np.float64(0.901), 'speaker': 'SPEAKER_02'}, {'word': 'for', 'start': np.float64(54.544), 'end': np.float64(54.624), 'score': np.float64(0.996), 'speaker': 'SPEAKER_02'}, {'word': 'me,', 'start': np.float64(54.664), 'end': np.float64(54.764), 'score': np.float64(0.935), 'speaker': 'SPEAKER_02'}, {'word': 'but', 'start': np.float64(54.784), 'end': np.float64(54.884), 'score': np.float64(0.978), 'speaker': 'SPEAKER_02'}, {'word': 'I', 'start': np.float64(54.944), 'end': np.float64(55.004), 'score': np.float64(0.997), 'speaker': 'SPEAKER_02'}, {'word': 'never', 'start': np.float64(55.064), 'end': np.float64(55.264), 'score': np.float64(0.755), 'speaker': 'SPEAKER_02'}, {'word': 'understood', 'start': np.float64(55.304), 'end': np.float64(55.985), 'score': np.float64(0.692), 'speaker': 'SPEAKER_02'}, {'word': 'it.', 'start': np.float64(56.025), 'end': np.float64(56.125), 'score': np.float64(0.765), 'speaker': 'SPEAKER_02'}]",SPEAKER_02
56.225,58.487,"I used to say like, you hate me, you hate me.","[{'word': 'I', 'start': np.float64(56.225), 'end': np.float64(56.265), 'score': np.float64(0.809), 'speaker': 'SPEAKER_02'}, {'word': 'used', 'start': np.float64(56.465), 'end': np.float64(56.586), 'score': np.float64(0.615), 'speaker': 'SPEAKER_02'}, {'word': 'to', 'start': np.float64(56.646), 'end': np.float64(56.706), 'score': np.float64(0.978), 'speaker': 'SPEAKER_02'}, {'word': 'say', 'start': np.float64(56.766), 'end': np.float64(56.966), 'score': np.float64(0.818), 'speaker': 'SPEAKER_02'}, {'word': 'like,', 'start': np.float64(57.026), 'end': np.float64(57.186), 'score': np.float64(0.837), 'speaker': 'SPEAKER_02'}, {'word': 'you', 'start': np.float64(57.226), 'end': np.float64(57.366), 'score': np.float64(0.652), 'speaker': 'SPEAKER_02'}, {'word': 'hate', 'start': np.float64(57.406), 'end': np.float64(57.606), 'score': np.float64(0.696), 'speaker': 'SPEAKER_02'}, {'word': 'me,', 'start': np.float64(57.666), 'end': np.float64(57.807), 'score': np.float64(0.95), 'speaker': 'SPEAKER_02'}, {'word': 'you', 'start': np.float64(57.947), 'end': np.float64(58.087), 'score': np.float64(0.718), 'speaker': 'SPEAKER_02'}, {'word': 'hate', 'start': np.float64(58.127), 'end': np.float64(58.307), 'score': np.float64(0.74), 'speaker': 'SPEAKER_02'}, {'word': 'me.', 'start': np.float64(58.347), 'end': np.float64(58.487), 'score': np.float64(0.913), 'speaker': 'SPEAKER_02'}]",SPEAKER_02
58.707,65.573,"I saw so clearly as an adult, what I couldn't see as a kid, and that is that you love me so deeply and wholeheartedly.","[{'word': 'I', 'start': np.float64(58.707), 'end': np.float64(58.767), 'score': np.float64(0.998), 'speaker': 'SPEAKER_02'}, {'word': 'saw', 'start': np.float64(58.888), 'end': np.float64(59.128), 'score': np.float64(0.916), 'speaker': 'SPEAKER_02'}, {'word': 'so', 'start': np.float64(59.168), 'end': np.float64(59.468), 'score': np.float64(0.855), 'speaker': 'SPEAKER_02'}, {'word': 'clearly', 'start': np.float64(59.528), 'end': np.float64(59.828), 'score': np.float64(0.847), 'speaker': 'SPEAKER_02'}, {'word': 'as', 'start': np.float64(59.888), 'end': np.float64(59.988), 'score': np.float64(0.847), 'speaker': 'SPEAKER_02'}, {'word': 'an', 'start': np.float64(60.029), 'end': np.float64(60.089), 'score': np.float64(0.52), 'speaker': 'SPEAKER_02'}, {'word': 'adult,', 'start': np.float64(60.149), 'end': np.float64(60.549), 'score': np.float64(0.794), 'speaker': 'SPEAKER_02'}, {'word': 'what', 'start': np.float64(60.629), 'end': np.float64(60.749), 'score': np.float64(0.894), 'speaker': 'SPEAKER_02'}, {'word': 'I', 'start': np.float64(60.789), 'end': np.float64(60.809), 'score': np.float64(0.809), 'speaker': 'SPEAKER_02'}, {'word': ""couldn't"", 'start': np.float64(60.909), 'end': np.float64(61.17), 'score': np.float64(0.789), 'speaker': 'SPEAKER_02'}, {'word': 'see', 'start': np.float64(61.21), 'end': np.float64(61.33), 'score': np.float64(0.872), 'speaker': 'SPEAKER_02'}, {'word': 'as', 'start': np.float64(61.37), 'end': np.float64(61.45), 'score': np.float64(0.722), 'speaker': 'SPEAKER_02'}, {'word': 'a', 'start': np.float64(61.51), 'end': np.float64(61.53), 'score': np.float64(0.999), 'speaker': 'SPEAKER_02'}, {'word': 'kid,', 'start': np.float64(61.57), 'end': np.float64(61.83), 'score': np.float64(0.985), 'speaker': 'SPEAKER_02'}, {'word': 'and', 'start': np.float64(61.89), 'end': np.float64(61.97), 'score': np.float64(0.821), 'speaker': 'SPEAKER_02'}, {'word': 'that', 'start': np.float64(62.01), 'end': np.float64(62.17), 'score': np.float64(0.883), 'speaker': 'SPEAKER_02'}, {'word': 'is', 'start': np.float64(62.23), 'end': np.float64(62.311), 'score': np.float64(0.888), 'speaker': 'SPEAKER_02'}, {'word': 'that', 'start': np.float64(62.371), 'end': np.float64(62.531), 'score': np.float64(0.995), 'speaker': 'SPEAKER_02'}, {'word': 'you', 'start': np.float64(62.891), 'end': np.float64(63.051), 'score': np.float64(0.812), 'speaker': 'SPEAKER_02'}, {'word': 'love', 'start': np.float64(63.111), 'end': np.float64(63.311), 'score': np.float64(0.86), 'speaker': 'SPEAKER_02'}, {'word': 'me', 'start': np.float64(63.351), 'end': np.float64(63.452), 'score': np.float64(0.802), 'speaker': 'SPEAKER_02'}, {'word': 'so', 'start': np.float64(63.612), 'end': np.float64(63.832), 'score': np.float64(0.838), 'speaker': 'SPEAKER_02'}, {'word': 'deeply', 'start': np.float64(63.872), 'end': np.float64(64.312), 'score': np.float64(0.754), 'speaker': 'SPEAKER_02'}, {'word': 'and', 'start': np.float64(64.332), 'end': np.float64(64.773), 'score': np.float64(0.544), 'speaker': 'SPEAKER_02'}, {'word': 'wholeheartedly.', 'start': np.float64(64.833), 'end': np.float64(65.573), 'score': np.float64(0.843), 'speaker': 'SPEAKER_02'}]",SPEAKER_02
